1password 8.10.50-25
1password-cli 2.30.0-1
a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adw-gtk-theme-git 5.5.r1.g4963032-1
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.14.0-1
alsa-card-profiles 1:1.2.6-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
anyrun-git r163.c6101a3-1
anyrun-git-debug r163.c6101a3-1
aom 3.10.0-1
appstream 1.0.3-1
appstream-glib 0.8.3-2
appstream-qt 1.0.3-1
aquamarine 0.4.3-1
arch-wiki-docs 20241101-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20241015-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.7.0-1
attr 2.5.2-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
axel 2.17.14-1
ayatana-ido 0.10.4-1
aylurs-gtk-shell 1.8.2-3
baloo 6.7.0-1
baloo-widgets 24.08.2-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.14.0-2
bat 0.24.0-2
bc 1.07.1-5
bibata-cursor-theme 2.0.7-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
blueberry 1.4.8-2
blueman 2.4.3-1
blueprint-compiler 0.14.0-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-tools 0.2.0-6
bluez-utils 5.79-1
bolt 0.9.8-1
boost-libs 1.86.0-3
bottom 0.10.2-1
brave-bin 1:1.71.121-1
breeze 6.2.3-1
breeze-icons 6.7.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-2
btrfs-progs 6.11-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.2-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.106-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cifs-utils 7.1-1
clang 18.1.8-4
cliphist 1:0.6.1-1
cmake 3.30.5-1
cmatrix 2.0-3
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colorpicker 1.0.f5d441a-2
colorpicker-debug 1.0.f5d441a-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
convertlit 1.8-12
coreutils 9.5-2
cosmic-app-library 1.0.0.alpha.3-1
cosmic-applets 1.0.0.alpha.3-1
cosmic-bg 1.0.0.alpha.3-1
cosmic-comp 1.0.0.alpha.3-1
cosmic-files 1.0.0.alpha.3-1
cosmic-greeter 1.0.0.alpha.3-1
cosmic-icon-theme 1.0.0.alpha.3-1
cosmic-idle 1.0.0.alpha.3-1
cosmic-launcher 1.0.0.alpha.3-1
cosmic-notifications 1.0.0.alpha.3-1
cosmic-osd 1.0.0.alpha.3-1
cosmic-panel 1.0.0.alpha.3-1
cosmic-randr 1.0.0.alpha.3-1
